month,hour,n,actual_mean,mu_pre,sigma_pre,drift_mw,drift_sigma
6,15,30,18254.133333333335,17981.355072463768,2501.4908570676625,-272.778260869567,-0.1090462753836836
6,16,30,18695.833333333332,18160.568115942027,2372.1094362405624,-535.2652173913048,-0.22564946170427103
6,17,30,18818.3,17980.25507246377,2232.2613112803915,-838.0449275362298,-0.37542420472966037
6,18,30,18791.333333333332,17749.734782608695,2086.474302199197,-1041.5985507246369,-0.499214655855941
6,19,30,18530.733333333334,17536.091304347825,1958.258992185606,-994.6420289855087,-0.5079215941071166
6,20,30,18246.8,17481.736231884057,1883.8925571539742,-765.0637681159424,-0.4061079625855819
6,21,30,17237.533333333333,16608.746376811596,1784.7638396040284,-628.786956521737,-0.35230821163501447
6,22,30,16084.666666666666,15226.639130434784,1586.0820040513156,-858.0275362318826,-0.5409729976383505
6,23,30,15040.733333333334,14107.549275362318,1418.9279916926919,-933.1840579710151,-0.6576683689619691
7,0,31,15976.225806451614,14431.443197755962,1422.0511297627197,-1544.782608695652,-1.086305953677918
7,1,31,15331.387096774193,13908.601683029454,1336.3227796673368,-1422.7854137447393,-1.064701908395909
7,2,31,14854.645161290322,13558.304347826086,1255.502918031702,-1296.340813464236,-1.0325271210811338
7,3,31,14666.129032258064,13438.535764375876,1226.6271670460449,-1227.5932678821882,-1.0007876075649538
7,4,31,14798.870967741936,13622.85273492286,1273.179299014808,-1176.018232819075,-0.9236862661284889
7,5,31,15307.806451612903,14178.935483870968,1482.142911800465,-1128.8709677419356,-0.7616478537623712
7,6,31,16343.0,15343.126227208975,1798.667832816377,-999.8737727910247,-0.555896844624952
7,7,31,17446.645161290322,16521.688639551194,2016.3913780403268,-924.9565217391282,-0.45871874469036217
7,8,31,18305.064516129034,17413.800841514727,2111.9520004997776,-891.2636746143071,-0.4220094369585086
7,9,31,19077.774193548386,18131.892005610098,2226.7132195676277,-945.8821879382886,-0.4247885087429244
7,10,31,19625.16129032258,18670.465638148667,2305.2608353137907,-954.6956521739121,-0.41413780061203337
7,11,31,20067.0,18994.468443197755,2345.1693745700613,-1072.5315568022452,-0.4573365013343106
7,12,31,20543.032258064515,19218.89901823282,2404.9095362255866,-1324.1332398316954,-0.5505958622917151
7,13,31,20746.354838709678,19307.0603085554,2412.402616188629,-1439.2945301542786,-0.5966228524607677
7,14,31,20990.129032258064,19424.582047685835,2397.9227754179774,-1565.5469845722291,-0.6528763147092348
7,15,31,21343.387096774193,19659.2286115007,2347.877686689013,-1684.1584852734923,-0.7173109974261477
7,16,31,21738.16129032258,19860.873772791023,2246.076752067734,-1877.2875175315567,-0.8358073764858344
7,17,31,21708.83870967742,19681.548387096773,2154.068223368951,-2027.2903225806476,-0.9411448999558504
7,18,31,21453.032258064515,19339.820476858346,2078.9536684030813,-2113.2117812061697,-1.016478535969204
7,19,31,20992.709677419356,18946.350631136043,1998.8161708246985,-2046.3590462833126,-1.0237855167236307
7,20,31,20534.58064516129,18838.98316970547,1954.8445043617157,-1695.5974754558229,-0.8673822760186541
7,21,31,19486.1935483871,17904.22440392707,1830.7441302264697,-1581.9691444600285,-0.8641126405055485
7,22,31,18162.870967741936,16476.63113604488,1648.1695328372643,-1686.239831697054,-1.0230985333130462
7,23,31,16892.032258064515,15259.600280504908,1510.4527806721958,-1632.4319775596068,-1.0807567098079867
8,0,31,14909.548387096775,14263.62676056338,1302.0253400086908,-645.9216265333944,-0.4960899044630598
8,1,31,14366.516129032258,13779.652112676056,1231.941676737458,-586.8640163562013,-0.4763732142826671
8,2,31,14022.548387096775,13468.421126760564,1167.7267955076447,-554.1272603362104,-0.47453502177734574
8,3,31,13906.129032258064,13379.777464788733,1139.4306999299176,-526.3515674693317,-0.461942588962809
8,4,31,14081.967741935483,13636.864788732395,1191.8268769759509,-445.10295320308796,-0.373462758561426
8,5,31,14619.032258064517,14263.666197183098,1394.8924724566148,-355.3660608814189,-0.2547623332252743
8,6,31,15417.516129032258,15199.40985915493,1693.8703604255113,-218.10626987732758,-0.12876207942061035
8,7,31,16330.709677419354,16296.86338028169,1880.331007886984,-33.846297137664806,-0.018000180285118773
8,8,31,16964.548387096773,17140.494366197185,1963.8630971697623,175.94597910041193,0.08959177416897234
8,9,31,17601.58064516129,17828.27042253521,2086.396949629422,226.68977737391833,0.10865131748499829
8,10,31,18122.677419354837,18342.570422535213,2171.437768632791,219.89300318037567,0.10126608570450885
8,11,31,18558.322580645163,18651.135211267607,2205.6630297015017,92.81263062244398,0.04207924300884916
8,12,31,18890.58064516129,18879.381690140846,2272.878812275728,-11.198955020445283,-0.004927211675325659
8,13,31,19039.16129032258,18974.57323943662,2295.6654721611117,-64.58805088595909,-0.028134783429554604
8,14,31,19256.74193548387,19075.31408450704,2286.847118159053,-181.4278509768301,-0.07933536506930218
8,15,31,19631.677419354837,19314.347887323944,2241.011264610824,-317.32953203089346,-0.14160104281582056
8,16,31,20076.935483870966,19509.111267605633,2142.34857753319,-567.8242162653332,-0.2650475381177955
8,17,31,20166.41935483871,19291.27323943662,2037.2589535234927,-875.1461154020872,-0.4295703861742755
8,18,31,19948.16129032258,18909.645070422535,1935.9842908118974,-1038.5162199000442,-0.5364280200148317
8,19,31,19604.290322580644,18816.991549295773,1847.9232814403485,-787.2987732848705,-0.4260451617186277
8,20,31,19063.58064516129,18555.12676056338,1807.8022356608305,-508.4538845979114,-0.2812552582180259
8,21,31,17951.709677419356,17398.23661971831,1670.0948801404063,-553.473057701045,-0.33140216420190094
8,22,31,16757.83870967742,16065.31971830986,1506.4600434047668,-692.5189913675604,-0.4596995415838515
8,23,31,15687.129032258064,14962.067605633803,1370.9033954081215,-725.061426624261,-0.5288931583748893
9,0,30,13398.0,13132.059420289856,1155.8861217730976,-265.94057971014445,-0.23007506942137076
9,1,30,13069.0,12789.192753623189,1090.0840577991598,-279.80724637681124,-0.2566841009873421
9,2,30,12877.1,12582.952173913043,1030.6325036846513,-294.14782608695714,-0.285405151725119
9,3,30,12883.133333333333,12577.055072463769,1014.6026826492063,-306.0782608695645,-0.3016730254155946
9,4,30,13205.166666666666,12914.542028985506,1079.7815744833974,-290.6246376811596,-0.26915132147925735
9,5,30,14050.3,13864.172463768116,1358.6401842224675,-186.1275362318829,-0.1369954594257797
9,6,30,14934.966666666667,14912.998550724638,1768.26291110359,-21.968115942028817,-0.012423557494806189
9,7,30,15316.166666666666,15596.872463768115,1824.0705984959209,280.7057971014492,0.15388976574311958
9,8,30,15495.2,16077.233333333334,1842.6989180318415,582.0333333333328,0.31585916051602925
9,9,30,15694.966666666667,16476.952173913043,1973.1212722584467,781.9855072463761,0.3963190292664123
