,Time,DATE,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW,SNOW_ON_GROUND,DIRECTION_MAX_GUST,SPEED_MAX_GUST,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,ALLSKY_SFC_SW_DWN,HOEP,Demand,Hour.1.Predispatch,Hour.2.Predispatch,Hour.3.Predispatch,OR.10.Min.Sync,OR.10.Min.non.sync,OR.30.Min,Weekday
63,161.0,2020-06-09,6.2803571428571,3.7642857142857,8.8196428571429,3.74,0.0,0.0,-6.5,2.5,5.18035714285714,-1.1,-4.5,-9.5333333333333,-0.993846153846199,1.64375,22627.0,12.7125,12.27375,12.4045833333333,3.95583333333333,2.18583333333333,0.237083333333333,Tuesday
64,71.0,2020-03-11,-6.21111111111111,-4.45555555555555,-7.91111111111111,-3.32857142857142,0.0,0.25,-18.8,-16.4,0.0,6.2111111111111,-5.6666666666667,-8.0,3.90230769230769,10.2466666666667,6171.0,19.2883333333333,19.0933333333333,19.7475,2.15,1.92458333333333,1.42666666666667,Wednesday
65,198.0,2020-07-16,0.433928571428599,3.4803571428571,-2.6071428571429,3.72,0.0,0.0,7.0,-4.4,0.43392857142857,0.0,19.6666666666667,10.1666666666667,-18.3453846153846,-0.0608333333334006,-4965.0,14.2758333333333,14.725,14.9833333333333,3.10791666666667,2.32083333333333,0.585,Thursday
66,192.0,2020-07-10,-1.0285714285714,-0.100000000000001,-1.9571428571429,7.72,0.0,0.0,8.5,16.4,-1.02857142857141,0.0,8.6666666666666,8.5,-1.27,-23.9120833333333,-925.0,37.9425,36.0045833333333,46.3791666666667,9.44791666666667,8.92083333333333,0.305833333333333,Friday
67,130.0,2020-05-09,-0.39642857142857,-1.42678571428571,0.66785714285714,0.22,0.2,0.0,-2.4,14.2,0.0,0.396428571428601,10.5,8.1666666666667,0.510769230769199,-0.4875,-4120.0,7.72625,7.05875,6.99416666666667,1.67333333333333,1.67333333333333,1.44916666666667,Saturday
68,110.0,2020-04-19,2.41428571428571,2.44285714285715,2.4,0.12,0.0,0.0,13.4,7.0,0.0,-2.4142857142857,16.0,-4.3333333333333,-11.9515384615384,-2.64416666666667,-1976.0,2.92833333333333,2.99083333333333,3.23625,1.40583333333333,0.760833333333333,0.760833333333333,Sunday
69,97.0,2020-04-06,-0.0749999999999993,-3.275,3.1125,0.25,0.0,0.0,-11.1,6.0,0.0,0.0749999999999993,-22.0,-6.0,4.7530769230769,3.30208333333333,9427.0,8.81333333333333,9.3925,9.40208333333333,4.93125,2.12333333333333,1.48125,Monday
70,126.0,2020-05-05,-1.65714285714285,-2.52857142857143,-0.799999999999999,0.1,0.0,0.0,-15.7,-17.05,0.0,1.6571428571428,-0.1666666666666,-4.0,2.2276923076923,0.82083333333333,3523.0,5.03916666666667,5.07666666666667,4.87375,2.48166666666667,2.48166666666667,2.47041666666667,Tuesday
71,85.0,2020-03-25,2.0375,0.475,3.6,0.133333333333334,0.0,0.0,-14.3333333333333,5.0,0.0,-2.0375,-0.8333333333333,0.8333333333333,1.8615384615385,-4.6820833333333,-3133.0,15.4095833333333,15.9025,15.7891666666667,1.26458333333333,0.475833333333333,0.475833333333333,Wednesday
72,282.0,2020-10-08,-4.77321428571429,-5.36964285714286,-4.1285714285714,-1.51,0.0,0.0,-6.4,-23.0,0.0,4.77321428571429,6.8333333333333,4.8333333333333,0.105384615384599,11.1570833333333,-641.0,11.595,11.8029166666667,11.8620833333333,1.27166666666667,0.469583333333333,0.469583333333333,Thursday
73,325.0,2020-11-20,3.72857142857143,5.76071428571429,1.6642857142857,0.0,0.0,0.0,3.8,2.4,0.0,-3.7285714285714,6.0,2.1666666666667,2.19461538461539,0.14875,-6708.0,2.83916666666667,3.17708333333333,2.68916666666667,2.46083333333333,2.46083333333333,1.65916666666667,Friday
74,256.0,2020-09-12,1.3375,-0.5,3.1625,0.05,0.0,0.0,-11.6666666666667,-0.6666666666667,0.0,-1.3375,8.1666666666666,3.3333333333333,-0.0076923076923982,-8.2808333333334,-10115.0,14.495,14.7333333333333,13.38,3.70125,2.82,1.21875,Saturday
75,152.0,2020-05-31,-2.3875,-1.875,-2.9125,-0.6,0.0,0.0,-0.199999999999999,-6.0,0.0,2.3875,-17.5,-6.5,9.7430769230769,3.21708333333333,-5129.0,4.10166666666667,3.93958333333333,2.78458333333333,1.1075,1.1075,1.10541666666667,Sunday
76,111.0,2020-04-20,-4.15714285714285,-2.71428571428572,-5.61428571428569,0.06,0.0,0.0,-18.1,-12.7,0.0,4.1571428571428,-8.1666666666666,-2.0,15.48,1.10666666666667,8087.0,6.76708333333333,6.795,6.33666666666667,4.00791666666667,3.43458333333333,3.43375,Monday
77,259.0,2020-09-15,-0.367857142857099,-2.57321428571429,1.8464285714286,0.04,0.0,0.0,-9.9,-2.2,0.0,0.36785714285714,13.3,0.466666666666697,-4.9746153846154,1.5458333333334,-443.0,14.5591666666667,15.1595833333333,14.51375,7.04708333333333,6.7775,6.7775,Tuesday
78,155.0,2020-06-03,1.4428571428571,-0.157142857142899,3.0571428571429,-7.59666666666667,0.0,0.0,22.3333333333333,-5.2,1.11428571428571,-0.328571428571429,-2.6666666666667,3.6666666666667,-0.573076923077,-1.78458333333333,7991.0,11.1920833333333,11.165,11.6595833333333,10.9566666666667,10.6091666666667,9.73625,Wednesday
