daytype,horizon,n_days,mean_sd,mean_skew,mean_exkurt,cell
saturday,16,72,1356.8116455078125,-0.044684212654829025,-0.07646209001541138,E
sunday,16,71,1243.05224609375,-0.0280854944139719,-0.025593411177396774,E
weekday,16,357,1361.1644287109375,-0.043584782630205154,-0.11567296832799911,E
all,16,500,1343.765625,-0.04154220595955849,-0.0972352996468544,E
saturday,17,72,1320.92529296875,-0.04051947593688965,-0.07297024875879288,E
sunday,17,71,1211.40673828125,-0.023153262212872505,-0.010479937307536602,E
weekday,17,357,1322.693115234375,-0.04325723275542259,-0.11586330085992813,E
all,17,500,1306.6357421875,-0.04000822827219963,-0.09472225606441498,E
saturday,18,72,1307.64453125,-0.036276135593652725,-0.10460969060659409,E
sunday,18,71,1203.7449951171875,-0.016011038795113564,-0.006279542576521635,E
weekday,18,357,1310.9111328125,-0.03986998274922371,-0.11341284960508347,E
all,18,500,1295.2232666015625,-0.03596450015902519,-0.09693226218223572,E
saturday,19,72,1314.5133056640625,-0.027987632900476456,-0.12085098773241043,E
sunday,19,71,1212.797607421875,-0.015475728549063206,-0.010523735545575619,E
weekday,19,357,1318.8699951171875,-0.03736010566353798,-0.11566230654716492,E
all,19,500,1303.1805419921875,-0.03290288522839546,-0.10147979855537415,E
saturday,20,72,1315.3665771484375,-0.019348878413438797,-0.12914706766605377,E
sunday,20,71,1215.891357421875,-0.01660115085542202,-0.02360660582780838,E
weekday,20,357,1321.0611572265625,-0.03193335980176926,-0.1193445473909378,E
all,20,500,1305.3070068359375,-0.027944020926952362,-0.10716131329536438,E
saturday,21,72,1311.3409423828125,-0.020567787811160088,-0.1425403356552124,E
sunday,21,71,1210.842041015625,-0.01785234920680523,-0.029349757358431816,E
weekday,21,357,1314.4549560546875,-0.02926749549806118,-0.11544282734394073,E
all,21,500,1299.29345703125,-0.026393787935376167,-0.10711964219808578,E
saturday,22,72,1252.7298583984375,-0.02156357280910015,-0.15213137865066528,E
sunday,22,71,1161.4761962890625,-0.019241558387875557,-0.03793923556804657,E
weekday,22,357,1255.360107421875,-0.024613868445158005,-0.11953659355640411,E
all,22,500,1241.64990234375,-0.023411758244037628,-0.11264342069625854,E
saturday,23,72,1150.745849609375,-0.018990322947502136,-0.1510886400938034,E
sunday,23,71,1074.095703125,-0.014578846283257008,-0.029773933812975883,E
weekday,23,357,1153.507568359375,-0.020869653671979904,-0.1229768842458725,E
all,23,500,1141.83349609375,-0.01970573700964451,-0.11379015445709229,E
saturday,24,72,1054.438232421875,-0.018092693760991096,-0.15095461905002594,E
sunday,24,71,988.3732299804688,-0.004141632001847029,-0.026416493579745293,E
weekday,24,357,1058.5665283203125,-0.018886011093854904,-0.13069462776184082,E
all,24,500,1048.004638671875,-0.01667807064950466,-0.11880456656217575,E
saturday,1,72,149.02476501464844,0.17432081699371338,3.9332568645477295,F
sunday,1,71,150.2451934814453,0.08162067830562592,7.281850814819336,F
weekday,1,357,150.38714599609375,-0.01676219142973423,4.497773170471191,F
all,1,500,150.17080688476562,0.02472413331270218,4.811822414398193,F
saturday,2,72,255.89328002929688,0.11396205425262451,2.8390285968780518,F
sunday,2,71,264.9998779296875,0.09281326830387115,4.781411647796631,F
weekday,2,357,257.2215881347656,-0.03519251197576523,2.9873604774475098,F
all,2,500,258.1348571777344,0.0044625732116401196,3.2207558155059814,F
saturday,3,72,339.4989013671875,0.07734038680791855,2.1520657539367676,F
sunday,3,71,351.24151611328125,0.044977545738220215,3.2681264877319336,F
weekday,3,357,342.7210388183594,-0.046539563685655594,2.0483176708221436,F
all,3,500,343.46697998046875,-0.015705417841672897,2.2364704608917236,F
saturday,4,72,410.84710693359375,0.029214689508080482,1.6842176914215088,F
sunday,4,71,416.4523010253906,-0.0010453953873366117,2.2245023250579834,F
weekday,4,357,415.5978088378906,-0.0476171039044857,1.4814515113830566,F
all,4,500,415.0350646972656,-0.02994013950228691,1.6161631345748901,F
saturday,5,72,486.6144714355469,-0.02250901237130165,1.2385045289993286,F
sunday,5,71,484.2909240722656,-0.03569044917821884,1.8637981414794922,F
weekday,5,357,495.6252746582031,-0.059663087129592896,1.165389060974121,F
all,5,500,492.71826171875,-0.050908785313367844,1.2750917673110962,F
saturday,6,72,625.7280883789062,-0.058355554938316345,1.019763708114624,F
sunday,6,71,607.0689697265625,-0.02641458436846733,1.6216886043548584,F
weekday,6,357,636.78857421875,-0.07304571568965912,0.9110767245292664,F
all,6,500,630.9756469726562,-0.06430871039628983,1.0276345014572144,F
saturday,7,72,846.3098754882812,-0.06376539170742035,0.846623957157135,F
sunday,7,71,811.3938598632812,9.873677481664345e-05,1.3557122945785522,F
weekday,7,357,862.1171264648438,-0.07501176744699478,0.7994769215583801,F
all,7,500,852.6382446289062,-0.06272659450769424,0.8852515816688538,F
saturday,8,72,1016.5924682617188,-0.07582336664199829,0.7858518958091736,F
sunday,8,71,961.8735961914062,0.021990332752466202,1.1352293491363525,F
weekday,8,357,1032.51904296875,-0.07406818121671677,0.734277606010437,F
all,8,500,1020.1939697265625,-0.06068061664700508,0.7986394762992859,F
saturday,9,72,1078.7957763671875,-0.0829043760895729,0.706828236579895,F
