daytype,horizon,n_days,mean_sd,mean_skew,mean_exkurt,cell
sunday,12,71,1140.3267822265625,-0.012622429057955742,-0.01169736310839653,E
weekday,12,357,1259.8348388671875,-0.04250701516866684,-0.06564413011074066,E
all,12,500,1241.6719970703125,-0.04021628201007843,-0.05896236374974251,E
saturday,13,72,1299.812255859375,-0.05478978902101517,-0.06326761841773987,E
sunday,13,71,1189.7841796875,-0.009837465360760689,-0.013833549804985523,E
weekday,13,357,1309.8818359375,-0.04182403162121773,-0.07400394976139069,E
all,13,500,1291.3779296875,-0.03914900869131088,-0.06391371041536331,E
saturday,14,72,1347.0640869140625,-0.04844469577074051,-0.06882084906101227,E
sunday,14,71,1231.9041748046875,-0.017168274149298668,-0.03335438668727875,E
weekday,14,357,1354.7113037109375,-0.03811025619506836,-0.09604404121637344,E
all,14,500,1336.1715087890625,-0.03662465140223503,-0.08322197198867798,E
saturday,15,72,1364.2476806640625,-0.04836045950651169,-0.07917419821023941,E
sunday,15,71,1247.9031982421875,-0.024002226069569588,-0.04920761659741402,E
weekday,15,357,1371.1781005859375,-0.03949686512351036,-0.10866277664899826,E
all,15,500,1352.675048828125,-0.03857298195362091,-0.09597378224134445,E
