level,daytype,horizon,n_days,cov_emp,se,cell
0.95,weekday,10,357,0.9467787114845938,0.011880448237326443,C
0.95,all,10,500,0.898,0.013534843922262271,C
0.95,saturday,11,72,0.8333333333333334,0.04392052305789415,C
0.95,sunday,11,71,0.7464788732394366,0.051628162017765496,C
0.95,weekday,11,357,0.9355742296918768,0.012993759591228582,C
0.95,all,11,500,0.894,0.013766916866168691,C
0.95,saturday,12,72,0.8472222222222222,0.042399673805588435,C
0.95,sunday,12,71,0.7887323943661971,0.04844535246297056,C
0.95,weekday,12,357,0.9355742296918768,0.012993759591228582,C
0.95,all,12,500,0.902,0.013296315279053816,C
0.95,saturday,13,72,0.8888888888888888,0.03703703703703704,C
0.95,sunday,13,71,0.8309859154929577,0.04447634657729004,C
0.95,weekday,13,357,0.957983193277311,0.010618333423533355,C
0.95,all,13,500,0.93,0.011410521460476728,C
0.95,saturday,14,72,0.9027777777777778,0.03491459057638508,C
0.95,sunday,14,71,0.8309859154929577,0.04447634657729004,C
0.95,weekday,14,357,0.9635854341736695,0.009913992208905365,C
0.95,all,14,500,0.936,0.01094568408095172,C
0.95,saturday,15,72,0.9583333333333334,0.023549756885851616,C
0.95,sunday,15,71,0.8732394366197183,0.039484766709934636,C
0.95,weekday,15,357,0.969187675070028,0.009146018337792855,C
0.95,all,15,500,0.954,0.009368457717255283,C
0.95,saturday,16,72,0.9722222222222222,0.019367130243844344,C
0.95,sunday,16,71,0.9154929577464789,0.03300994345777757,C
0.95,weekday,16,357,0.9747899159663865,0.008296760478906587,C
0.95,all,16,500,0.966,0.008104813384649892,C
0.95,saturday,17,72,0.9583333333333334,0.023549756885851616,C
0.95,sunday,17,71,0.9436619718309859,0.027364018409871668,C
0.95,weekday,17,357,0.9859943977591037,0.006219479056869686,C
0.95,all,17,500,0.976,0.006844559883586383,C
0.95,saturday,18,72,0.9722222222222222,0.019367130243844344,C
0.95,sunday,18,71,0.9577464788732394,0.0238741303445037,C
0.95,weekday,18,357,0.988795518207283,0.005570767383855156,C
