level,daytype,horizon,n_days,cov_emp,se,cell
0.6827,weekday,23,357,0.9215686274509803,0.01422900855475359,C
0.6827,all,23,500,0.882,0.014427473791346842,C
0.6827,saturday,24,72,0.8611111111111112,0.04075652051309955,C
0.6827,sunday,24,71,0.7887323943661971,0.04844535246297056,C
0.6827,weekday,24,357,0.8571428571428571,0.0185201063872047,C
0.6827,all,24,500,0.848,0.01605590234150669,C
0.8,saturday,1,72,0.6944444444444444,0.0542872194424008,C
0.8,sunday,1,71,0.647887323943662,0.05668411847740348,C
0.8,weekday,1,357,0.7226890756302521,0.02369327668791142,C
0.8,all,1,500,0.708,0.0203340109176719,C
0.8,saturday,2,72,0.7777777777777778,0.04899539464934427,C
0.8,sunday,2,71,0.8169014084507042,0.04589846376912448,C
0.8,weekday,2,357,0.7983193277310925,0.021236666847066717,C
0.8,all,2,500,0.798,0.01795527777562909,C
0.8,saturday,3,72,0.8055555555555556,0.04664222611020806,C
0.8,sunday,3,71,0.8309859154929577,0.04447634657729004,C
0.8,weekday,3,357,0.8627450980392157,0.018212563294620544,C
0.8,all,3,500,0.85,0.015968719422671314,C
0.8,saturday,4,72,0.8194444444444444,0.04533137969344014,C
0.8,sunday,4,71,0.8450704225352113,0.04294221526646172,C
0.8,weekday,4,357,0.865546218487395,0.018055001724001173,C
0.8,all,4,500,0.856,0.015701210144444283,C
0.8,saturday,5,72,0.8194444444444444,0.04533137969344014,C
0.8,sunday,5,71,0.8309859154929577,0.04447634657729004,C
0.8,weekday,5,357,0.8319327731092437,0.019790261174521238,C
0.8,all,5,500,0.83,0.016798809481626965,C
0.8,saturday,6,72,0.5555555555555556,0.05856069741052554,C
0.8,sunday,6,71,0.6056338028169014,0.05799969641766592,C
0.8,weekday,6,357,0.8151260504201681,0.020545472716637602,C
0.8,all,6,500,0.748,0.019416281827373642,C
0.8,saturday,7,72,0.2777777777777778,0.05278589931014528,C
0.8,sunday,7,71,0.23943661971830985,0.05064467838459024,C
0.8,weekday,7,357,0.8627450980392157,0.018212563294620544,C
0.8,all,7,500,0.69,0.02068332661831747,C
0.8,saturday,8,72,0.19444444444444445,0.04664222611020807,C
0.8,sunday,8,71,0.11267605633802817,0.03752560865804669,C
0.8,weekday,8,357,0.8907563025210085,0.016509865655961575,C
