daytype,horizon,n_days,crps_mw,cell
all,24,500,444.20300140507214,D
saturday,1,72,134.8787300741173,E
sunday,1,71,131.3087017635216,E
weekday,1,357,116.08811260653756,E
all,1,500,120.95528518216081,E
saturday,2,72,159.29003995127547,E
sunday,2,71,163.9216067248932,E
weekday,2,357,152.92099244375433,E
all,2,500,155.4002225127591,E
saturday,3,72,177.3485718100594,E
sunday,3,71,179.21664649308377,E
weekday,3,357,173.80055427671226,E
all,3,500,175.080553896239,E
saturday,4,72,210.54296418752836,E
sunday,4,71,203.8337748740401,E
weekday,4,357,205.73674406546147,E
all,4,500,206.15861813785725,E
saturday,5,72,286.95893652289226,E
sunday,5,71,249.5068768910574,E
weekday,5,357,248.66700124932592,E
all,5,500,254.30030226984533,E
saturday,6,72,563.2549305828185,E
sunday,6,71,480.7786471136217,E
weekday,6,357,328.23941731262227,E
all,6,500,383.7422218552724,E
saturday,7,72,1067.300193010817,E
sunday,7,71,958.1268972365128,E
weekday,7,357,412.5135277805178,E
all,7,500,584.2799060364322,E
saturday,8,72,1322.2928488709554,E
sunday,8,71,1256.201399701108,E
weekday,8,357,473.3794036502595,E
all,8,500,706.7836632012602,E
saturday,9,72,1158.718887458942,E
sunday,9,71,1199.1293777177038,E
weekday,9,357,539.1434331565148,E
all,9,500,722.0803027037531,E
saturday,10,72,1073.4102107024926,E
sunday,10,71,1134.3763207335644,E
weekday,10,357,640.5586990995166,E
all,10,500,773.0114190423799,E
saturday,11,72,1023.1535500779997,E
sunday,11,71,1093.6563221719014,E
weekday,11,357,714.7274682200338,E
all,11,500,812.9487212687461,E
saturday,12,72,967.1929218139308,E
sunday,12,71,1012.4499319385218,E
weekday,12,357,733.0231957182017,E
all,12,500,806.422232819272,E
saturday,13,72,965.6351902824669,E
sunday,13,71,973.0453015503904,E
weekday,13,357,720.7186027444701,E
all,13,500,791.8169825803824,E
saturday,14,72,942.9443395144125,E
sunday,14,71,922.1180576359181,E
weekday,14,357,694.2556419152342,E
all,14,500,762.423277401853,E
saturday,15,72,898.39087836576,E
sunday,15,71,858.1307833677632,E
weekday,15,357,661.2605681425168,E
all,15,500,723.3629033766489,E
saturday,16,72,829.735021720473,E
sunday,16,71,763.0077996192449,E
weekday,16,357,620.3953227835772,E
all,16,500,670.7912111411551,E
saturday,17,72,788.2957639747675,E
sunday,17,71,650.9266409028527,E
weekday,17,357,573.6635858803713,E
all,17,500,615.5419733391567,E
saturday,18,72,815.5748117711223,E
sunday,18,71,602.4885296026513,E
weekday,18,357,570.0527759394233,E
all,18,500,610.0138261193663,E
saturday,19,72,870.5507030302609,E
